ServiceNo,Direction,StopSequence,BusStopCode
116,1,37,64009
116A,1,1,66439
116A,1,2,66429
116A,1,3,66101
116A,1,4,63219
116A,1,5,63209
116A,1,6,63199
116A,1,7,63189
116A,1,8,63179
116A,1,9,63369
116A,1,10,66379
116A,1,11,66359
117,1,1,65009
117,1,2,65259
117,1,3,65409
117,1,4,65141
117,1,5,65431
117,1,6,68111
117,1,7,68061
117,1,8,68091
117,1,9,68081
117,1,10,68101
117,1,11,68121
117,1,12,68161
117,1,13,68131
117,1,14,68141
117,1,15,68151
117,1,16,68171
117,1,17,59779
117,1,18,59789
117,1,19,59479
117,1,20,59759
117,1,21,59749
117,1,22,59739
117,1,23,59509
117,1,24,59729
117,1,25,59031
117,1,26,59041
117,1,27,59051
117,1,28,59061
117,1,29,59079
117,1,30,59091
117,1,31,59251
117,1,32,59521
117,1,33,58549
117,1,34,58261
117,1,35,58339
117,1,36,58211
117,1,37,58251
117,1,38,58009
117,2,1,58009
117,2,2,58259
117,2,3,58219
117,2,4,58331
117,2,5,58269
117,2,6,58541
117,2,7,59529
117,2,8,59259
117,2,9,59099
117,2,10,59073
117,2,11,59069
117,2,12,59059
117,2,13,59049
117,2,14,59039
117,2,15,59721
117,2,16,59501
117,2,17,59731
117,2,18,59741
117,2,19,59751
117,2,20,59471
117,2,21,59781
117,2,22,59771
117,2,23,68179
117,2,24,68159
117,2,25,68149
117,2,26,68139
117,2,27,68169
117,2,28,68129
117,2,29,68109
117,2,30,68089
117,2,31,68099
117,2,32,68069
117,2,33,68119
117,2,34,65439
117,2,35,65149
117,2,36,65401
117,2,37,65009
117A,1,1,59479
117A,1,2,59759
117A,1,3,59749
117A,1,4,59739
117A,1,5,59509
117A,1,6,59729
117A,1,7,59031
117A,1,8,59041
117B,1,1,58009
117B,1,2,58259
117B,1,3,58219
117B,1,4,58331
117B,1,5,58269
117B,1,6,58541
117B,1,7,59529
117B,1,8,59259
117B,1,9,59099
117B,1,10,59073
118,1,1,65009
118,1,2,65259
118,1,3,65409
118,1,4,65141
118,1,5,65431
118,1,6,65199
118,1,7,75359
118,1,8,75369
118,1,9,75319
118,1,10,75299
118,1,11,75379
118,1,12,75171
118,1,13,75159
118,1,14,75039
118,1,15,75241
118,1,16,75231
118,1,17,75221
118,1,18,75051
118,1,19,96289
118,1,20,96109
118,1,21,96119
118,1,22,96229
118,1,23,96311
118,1,24,96301
118,1,25,96401
118,1,26,97009
118,2,1,97009
118,2,2,96361
118,2,3,96309
118,2,4,96319
118,2,5,96221
118,2,6,96111
118,2,7,96101
118,2,8,96281
118,2,9,75059
118,2,10,75229
118,2,11,75239
118,2,12,75249
118,2,13,75031
118,2,14,75151
118,2,15,75179
118,2,16,75371
118,2,17,75291
118,2,18,75311
118,2,19,75361
118,2,20,75351
118,2,21,65191
118,2,22,65439
118,2,23,65149
118,2,24,65401
118,2,25,65009
118A,1,1,65199
118A,1,2,75359
118A,1,3,75369
118A,1,4,75319
118A,1,5,75299
118A,1,6,75379
118A,1,7,75171
118A,1,8,75159
118A,1,9,75039
118A,1,10,75241
118A,1,11,75231
118A,1,12,75221
118A,1,13,75051
118A,1,14,96289
118A,1,15,96109
118A,1,16,96119
118B,1,1,96111
118B,1,2,96101
118B,1,3,96281
118B,1,4,75059
118B,1,5,75229
118B,1,6,75239
118B,1,7,75249
118B,1,8,75031
118B,1,9,75151
118B,1,10,75179
118B,1,11,75371
118B,1,12,75291
118B,1,13,75311
118B,1,14,75361
118B,1,15,75351
118B,1,16,65191
119,1,1,65009
119,1,2,65341
119,1,3,65331
119,1,4,65431
119,1,5,67591
119,1,6,67411
119,1,7,67401
119,1,8,67101
119,1,9,67111
119,1,10,67121
119,1,11,67131
119,1,12,67141
119,1,13,67151
119,1,14,67161
119,1,15,65019
119,1,16,64029
119,1,17,64079
119,1,18,64059
119,1,19,64049
119,1,20,64019
119,1,21,63069
119,1,22,63059
119,1,23,63049
119,1,24,63039
119,1,25,63221
119,1,26,63231
119,1,27,63041
119,1,28,63051
119,1,29,63061
119,1,30,64011
119,1,31,64041
